,adjusted_revenue
0,600888607.0
1,422728330.91
2,131021668.17
3,123182702.08
4,301505641.8
5,103511891.71
6,566529507.88
7,173531950.8
8,18254597.72
9,22008105.89
10,16113585.0
11,186775130.52
12,217157237.72
13,6916860.16
14,341637449.46
15,56993500.95
16,185149261.41
17,48744677.11
18,80106892.14
19,44074876.4
20,289542983.62
21,271591318.64
22,408794333.8
23,63319246.25
24,1088239.26
25,196560951.46
26,34237676.05
27,37920688.54
28,526504734.61
29,556694278.03
30,37546595.78
31,10777433.28
32,28180847.02
33,170942913.74
34,3765050.86
35,45387339.35
36,40376541.58
37,18554038.25
38,1155742.99
39,29740484.84
40,3191993.0
41,9300579.08
42,852166.82
43,16096472.47
44,13150633.74
45,19346087.72
46,31849728.2
47,234836823.76
48,875255.85
49,64393858.43
50,292786857.53
51,53645621.78
52,337800147.56
53,121718072.1
54,10098839.43
55,122457888.96
56,22976445.49
57,15847025.29
58,337695.59
59,289518581.73
60,227463397.97
61,1369771.56
62,571425838.98
63,50825910.47
64,541331402.39
65,2050929.47
66,286493.13
67,463153268.67
68,21026479.57
69,244538515.0
70,253168655.69
71,5249991.0
72,40866490.81
73,25963676.44
74,588900937.13
75,205254503.67
76,12166802.07
77,30684671.58
78,182562450.61
79,27369296.64
80,11923084.09
81,1847850.45
82,24857705.89
83,3414292.47
84,106165760.66
85,177953061.43
86,112054313.75
87,759841.22
88,16700850.56
89,32735655.73
90,13430660.41
91,81863710.27
92,182370422.49
93,12803093.69
94,9297546.92
95,11301017.07
96,546735.97
97,76848235.45
98,167812812.53
99,80448724.97
100,425014065.26
101,1263173.27
102,8904098.22
103,42609039.3
104,37721016.48
105,5211021.57
106,36712125.13
107,353916609.37
108,408919120.4
109,11313899.73
110,9736083.7
111,56860768.01
112,19626598.76
113,6422721.28
114,12949476.17
115,5042352.51
116,42346073.15
117,28454317.15
118,369874012.48
119,3979607.45
120,61186875.22
121,3135982589.26
122,265648413.25
123,12231206.08
124,185224736.69
125,29994237.85
126,76507380.84
127,27960107.49
128,176422956.74
129,83152576.46
130,3640000.59
131,305402797.07
132,4556804.96
133,353773850.47
134,10993826.45
135,6907389.65
136,29842970.12
137,18687882.3
138,16159384.29
139,281728487.78
140,325063149.54
141,313927295.36
142,46868268.31
143,174399.01
144,6538033.38
145,198443919.65
146,19302865.57
147,52517745.51
148,17023782.01
149,38682942.61
150,292851842.23
151,1255807.7
152,25003336.89
153,177305335.97
154,18555614.47
155,3254139.34
156,357013373.04
157,194500195.67
158,155447737.06
159,1666239.33
160,564955299.91
161,1121117852.36
162,421198595.33
163,61593389.9
164,2938656.78
165,102442153.96
166,763071.19
167,1303514897.15
168,8243380.49
169,29915720.21
170,581413244.73
171,84557943.07
172,33206034.5
173,3393637.15
174,579535862.72
175,168092882.94
176,626557589.37
177,82721280.1
178,41428475.62
179,48606221.96
180,34482146.32
181,164416610.1
182,60856135.36
183,14794986.43
184,83006740.82
185,54731629.73
186,34746703.48
187,25203097.15
188,197135825.29
189,27564773.28
190,49868960.31
191,727711.19
192,3048146.22
193,29334426.44
194,6056606.0
195,4361069.78
196,61961047.43
197,12163661.4
198,432689094.57
199,32620955.68
200,106899570.2
201,13562737.04
202,269888781.55
203,16101108.06
204,18913197.97
205,458562448.9
206,260798681.8
207,625915241.31
208,31621266.17
209,38833766.59
210,125886421.98
211,226954277.87
212,47760930.24
213,300332082.32
214,111645337.6
215,14686015.91
216,20594181.84
217,1561242770.54
218,4064272.45
219,710900.81
220,232970626.41
221,2544880.01
222,78741436.09
223,42013801.43
224,19149595.34
225,47341238.23
226,190609138.64
227,748782612.42
228,26173072.84
229,25367747.73
230,229292789.12
231,350695815.97
232,198018727.66
233,46689296.78
234,39098432.96
235,14284773.88
236,18916985.8
237,39430519.02
238,40238347.91
239,181896898.05
240,18149527.81
241,60643880.14
242,5558073.47
243,1699256.9
244,38603238.52
245,545299063.34
246,12329733.64
247,12933066.51
248,79482470.28
249,10369222.68
250,13185520.7
251,386535074.48
252,197340000.23
253,84177920.75
