,director,director_gender,actor1,actor1_gender,actor2,actor2_gender,actor3,actor3_gender
0,John Lasseter,2.0,Tom Hanks,2.0,Tim Allen,2.0,Don Rickles,2.0
1,Joe Johnston,2.0,Robin Williams,2.0,Jonathan Hyde,2.0,Kirsten Dunst,1.0
2,Forest Whitaker,2.0,Whitney Houston,1.0,Angela Bassett,1.0,Loretta Devine,1.0
3,Charles Shyer,2.0,Steve Martin,2.0,Diane Keaton,1.0,Martin Short,2.0
4,Michael Mann,2.0,Al Pacino,2.0,Robert De Niro,2.0,Val Kilmer,2.0
5,Peter Hyams,2.0,Jean-Claude Van Damme,2.0,Powers Boothe,2.0,Dorian Harewood,2.0
6,Martin Campbell,2.0,Pierce Brosnan,2.0,Sean Bean,2.0,Izabella Scorupco,1.0
7,Rob Reiner,2.0,Michael Douglas,2.0,Annette Bening,1.0,Michael J. Fox,2.0
8,Simon Wells,2.0,Kevin Bacon,2.0,Bob Hoskins,2.0,Bridget Fonda,1.0
9,Oliver Stone,2.0,Anthony Hopkins,2.0,Joan Allen,1.0,Powers Boothe,2.0
10,Renny Harlin,2.0,Geena Davis,1.0,Matthew Modine,2.0,Frank Langella,2.0
11,Martin Scorsese,2.0,Robert De Niro,2.0,Sharon Stone,1.0,Joe Pesci,2.0
12,Ang Lee,2.0,Kate Winslet,1.0,Emma Thompson,1.0,Hugh Grant,2.0
13,Allison Anders,1.0,Tim Roth,2.0,Antonio Banderas,2.0,Jennifer Beals,1.0
14,Steve Oedekerk,2.0,Jim Carrey,2.0,Ian McNeice,2.0,Simon Callow,2.0
15,Joseph Ruben,2.0,Wesley Snipes,2.0,Woody Harrelson,2.0,Jennifer Lopez,1.0
16,Barry Sonnenfeld,2.0,John Travolta,2.0,Gene Hackman,2.0,Rene Russo,1.0
17,Richard Donner,2.0,Sylvester Stallone,2.0,Antonio Banderas,2.0,Julianne Moore,1.0
18,Mike Figgis,2.0,Nicolas Cage,2.0,Elisabeth Shue,1.0,Julian Sands,2.0
19,Lesli Linka Glatter,1.0,Christina Ricci,1.0,Rosie O'Donnell,0.0,Thora Birch,1.0
20,John N. Smith,2.0,Michelle Pfeiffer,1.0,George Dzundza,2.0,Courtney B. Vance,2.0
21,Terry Gilliam,2.0,Bruce Willis,2.0,Madeleine Stowe,1.0,Brad Pitt,2.0
22,Chris Noonan,2.0,Christine Cavanaugh,1.0,Miriam Margolyes,1.0,Danny Mann,2.0
23,Tim Robbins,2.0,Susan Sarandon,1.0,Sean Penn,2.0,Robert Prosky,2.0
24,Darrell James Roodt,0.0,James Earl Jones,0.0,Charles S. Dutton,2.0,Jack Robinson,0.0
25,Paul W.S. Anderson,2.0,Christopher Lambert,2.0,Robin Shou,0.0,Linden Ashby,2.0
26,Gus Van Sant,2.0,Nicole Kidman,1.0,Matt Dillon,2.0,Joaquin Phoenix,2.0
27,Jocelyn Moorhouse,1.0,Winona Ryder,1.0,Anne Bancroft,1.0,Ellen Burstyn,1.0
28,David Fincher,2.0,Brad Pitt,2.0,Morgan Freeman,2.0,Gwyneth Paltrow,1.0
29,Mike Gabriel,2.0,Irene Bedard,1.0,Mel Gibson,2.0,David Ogden Stiers,2.0
30,Bryan Singer,2.0,Stephen Baldwin,2.0,Gabriel Byrne,2.0,Chazz Palminteri,2.0
31,Woody Allen,2.0,Woody Allen,2.0,Mira Sorvino,1.0,Helena Bonham Carter,1.0
32,Jodie Foster,1.0,Holly Hunter,1.0,Robert Downey Jr.,2.0,Anne Bancroft,1.0
33,Stephen Herek,2.0,Richard Dreyfuss,2.0,Glenne Headly,1.0,Jay Thomas,2.0
34,Farhad Mann,2.0,Patrick Bergin,2.0,Matt Frewer,2.0,Austin O'Brien,2.0
35,F. Gary Gray,2.0,Ice Cube,2.0,Chris Tucker,2.0,Nia Long,1.0
36,Robert Rodriguez,2.0,George Clooney,2.0,Quentin Tarantino,2.0,Harvey Keitel,2.0
37,Andrew Sipes,2.0,William Baldwin,2.0,Cindy Crawford,1.0,Steven Berkoff,2.0
38,Noah Baumbach,2.0,Josh Hamilton,2.0,Olivia d'Abo,1.0,Carlos Jacott,2.0
39,Michael Goldenberg,2.0,Christian Slater,2.0,Mary Stuart Masterson,1.0,Pamela Adlon,1.0
40,Steve Miner,2.0,Rick Moranis,2.0,Tom Arnold,2.0,Julianne Phillips,1.0
41,Christian Duguay,2.0,Peter Weller,2.0,Roy Dupuis,2.0,Jennifer Rubin,1.0
42,Gary Fleder,2.0,Andy García,2.0,Christopher Lloyd,2.0,William Forsythe,2.0
43,Ridley Scott,2.0,Jeff Bridges,2.0,Caroline Goodall,1.0,John Savage,2.0
44,John Badham,2.0,Johnny Depp,2.0,Courtney Chase,1.0,Charles S. Dutton,2.0
45,Stephen Frears,0.0,Julia Roberts,1.0,John Malkovich,2.0,George Cole,2.0
46,Wes Craven,2.0,Eddie Murphy,2.0,Angela Bassett,1.0,Allen Payne,2.0
47,John Woo,2.0,John Travolta,2.0,Christian Slater,2.0,Samantha Mathis,1.0
48,Wes Anderson,2.0,Luke Wilson,2.0,Owen Wilson,2.0,Lumi Cavazos,1.0
