,Unnamed: 0,id,title,month,year,adjusted_budget,director,actor1,actor2,actor3,original_language,production_companies,production_countries,runtime,popularity,vote_average,vote_count,adjusted_revenue,prod_company,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_Foreign,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_War,genre_Western,high_prod,director_gender_1.0,director_gender_2.0,actor1_gender_1.0,actor1_gender_2.0,actor2_gender_1.0,actor2_gender_2.0,actor3_gender_1.0,actor3_gender_2.0,director_noms,director_wins,prev_yr_gross_per_movie,prod_company_dom_box_office,prod_company_dom_box_office_per_movie,star_power,R_rated,PG_rated,PG13_rated,G_rated
0,0,862.0,Toy Story,10,1995,48257163.94,John Lasseter,Tom Hanks,Tim Allen,Don Rickles,en,"[{'name': 'Pixar Animation Studios', 'id': 3}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",81.0,21.946943,7.7,5415.0,600888607.0,Pixar Animation Studios,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,1,0,1,65,36,11912141.2804,4939873843,235232087,472,0,0,0,1
1,1,8844.0,Jumanji,12,1995,104557188.53,Joe Johnston,Robin Williams,Jonathan Hyde,Kirsten Dunst,en,"[{'name': 'TriStar Pictures', 'id': 559}, {'name': 'Teitler Film', 'id': 2550}, {'name': 'Interscope Communications', 'id': 10201}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",104.0,17.015539,6.9,2413.0,422728330.91,TriStar Pictures,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,1,1,0,8,2,11912141.2804,1643337362,45648260,142,0,1,0,0
2,2,31357.0,Waiting to Exhale,12,1995,25737154.1,Forest Whitaker,Whitney Houston,Angela Bassett,Loretta Devine,en,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",127.0,3.859495,6.1,34.0,131021668.17,Twentieth Century Fox Film Corporation,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,0,1,0,1,0,101,56,11912141.2804,1593531455,54949360,94,1,0,0,0
3,3,11862.0,Father of the Bride Part II,2,1995,0.0,Charles Shyer,Steve Martin,Diane Keaton,Martin Short,en,"[{'name': 'Sandollar Productions', 'id': 5842}, {'name': 'Touchstone Pictures', 'id': 9195}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",106.0,8.387519000000001,5.7,173.0,123182702.08,Sandollar Productions,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,1,0,0,1,5,2,11912141.2804,0,0,125,0,1,0,0
4,4,949.0,Heat,12,1995,96514327.87,Michael Mann,Al Pacino,Robert De Niro,Val Kilmer,en,"[{'name': 'Regency Enterprises', 'id': 508}, {'name': 'Forward Pass', 'id': 675}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",170.0,17.924927,7.7,1886.0,301505641.8,Regency Enterprises,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,1,0,1,0,1,0,1,46,17,11912141.2804,5264430500,39286794,152,1,0,0,0
5,5,9091.0,Sudden Death,12,1995,56300024.59,Peter Hyams,Jean-Claude Van Damme,Powers Boothe,Dorian Harewood,en,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Imperial Entertainment', 'id': 21437}, {'name': 'Signature Entertainment', 'id': 23770}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",106.0,5.23158,5.5,174.0,103511891.71,Universal Pictures,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,1,0,1,0,1,0,1,8,1,11912141.2804,14174036096,80079299,0,1,0,0,0
6,6,710.0,GoldenEye,11,1995,93297183.61,Martin Campbell,Pierce Brosnan,Sean Bean,Izabella Scorupco,en,"[{'name': 'United Artists', 'id': 60}, {'name': 'Eon Productions', 'id': 7576}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",130.0,14.686035999999998,6.6,1194.0,566529507.88,United Artists,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,1,0,1,0,1,1,0,5,3,11912141.2804,275408053,39344007,0,0,0,1,0
7,7,9087.0,The American President,11,1995,99731472.14,Rob Reiner,Michael Douglas,Annette Bening,Michael J. Fox,en,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Castle Rock Entertainment', 'id': 97}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",106.0,6.318445,6.5,199.0,173531950.8,Columbia Pictures,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,1,0,0,1,51,23,11912141.2804,14250727779,85847757,290,0,0,1,0
8,8,21032.0,Balto,12,1995,0.0,Simon Wells,Kevin Bacon,Bob Hoskins,Bridget Fonda,en,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}, {'name': 'Amblimation', 'id': 4105}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",78.0,12.140733,7.1,423.0,18254597.72,Universal Pictures,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,1,1,0,4,0,11912141.2804,14174036096,80079299,150,0,0,0,1
9,9,10858.0,Nixon,12,1995,70777173.77,Oliver Stone,Anthony Hopkins,Joan Allen,Powers Boothe,en,"[{'name': 'Hollywood Pictures', 'id': 915}, {'name': 'Cinergi Pictures Entertainment', 'id': 1504}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",192.0,5.092,7.1,72.0,22008105.89,Hollywood Pictures,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,1,0,0,1,97,55,11912141.2804,720564052,80062672,136,1,0,0,0
