,prod_company,num_movies,dom_box_office,int_box_office
0,Warner Bros.,186,15272696394,34916308610
1,Columbia Pictures,166,14250727779,31668374003
2,Universal Pictures,177,14174036096,34079682003
3,Walt Disney Pictures,112,13180557629,31418674887
4,Marvel Studios,50,9590862433,23703755720
5,Paramount Pictures,103,9417295007,23238826272
6,20th Century Fox,89,9113986888,22808702141
7,Relativity Media,98,6596301574,13655720076
8,DreamWorks Pictures,74,6402873724,12660540916
9,Dune Entertainment,70,6295149265,16385510655
10,DreamWorks Animation,40,5572469335,14791142714
11,Amblin Entertainment,54,5320112959,12693936955
12,Regency Enterprises,134,5264430500,11143847384
13,Village Roadshow Productions,71,5051938190,11696456524
14,Legendary Pictures,43,5026731962,12417112919
15,Disney-Pixar,21,4939873843,12021965970
16,Lucasfilm,18,4928566616,10222527094
17,New Line Cinema,74,4483364687,10233839642
18,Touchstone Pictures,55,3981162822,7725770719
19,Lionsgate,108,3652798624,7241407871
20,RatPac Entertainment,47,3545213839,8608295594
21,Heyday Films,17,3210145689,9985244233
22,Metro-Goldwyn-Mayer Pictures,51,3174157864,7810037167
23,Jerry Bruckheimer,20,3051808813,7172137384
24,Walt Disney Animation Studios,17,2830945891,7593287504
25,Summit Entertainment,48,2675183670,6915509203
26,Imagine Entertainment,43,2558688676,5205050272
27,Fox 2000 Pictures,43,2486055530,5505324604
28,1492 Pictures,22,2472444304,6165166653
29,di Bonaventura Pictures,24,2329449772,6338111398
30,Bad Robot,13,2298037523,5242991378
31,Happy Madison,32,2290395772,3835858268
32,Illumination Entertainment,11,2181078620,5782122249
33,Spyglass Entertainment,25,2176450885,4202124942
34,Original Film,22,2135516242,6586329659
35,TSG Entertainment,31,2085556095,5851199192
36,The Kennedy/Marshall Company,26,2027198094,4497055484
37,Scott Rudin Productions,34,2006636144,3511315363
38,Wingnut Films,11,1992627287,6240859901
39,Working Title Films,77,1971259629,6116858669
40,PDI,9,1938568463,4843757294
41,Silver Pictures,32,1924311002,4251273579
42,New Regency,51,1809680176,4228122127
43,Revolution Studios,35,1764350680,3128828204
44,Blumhouse,55,1750651023,3275891808
45,Skydance Productions,18,1714190565,4727928107
46,Chernin Entertainment,19,1688092525,4189867443
47,Castle Rock Entertainment,47,1682457870,2825026366
48,Temple Hill Entertainment,25,1658451325,4157284593
49,Syncopy,6,1650668007,3922379704
50,Tri-Star Pictures,36,1643337362,3365366834
51,Atlas Entertainment,12,1643126655,4404038670
52,Scott Free Films,33,1616778563,4146654559
53,Twentieth Century Fox,29,1593531455,4022743620
54,Walden Media,27,1572391309,3847125369
55,Zancuk Company,11,1544680393,3752668123
56,Mandeville Films,19,1537299804,3051984001
57,Color Force,9,1535129683,3131721470
58,Ingenious Media,30,1508655222,4190555386
59,LStar Capital,24,1505003967,3693898210
60,Brian Grazer Productions,16,1478368954,3430822132
61,Blue Sky Studios,13,1478253484,4874254413
62,Donners' Company,15,1458987916,3725727345
63,Hasbro,7,1446851069,3733842650
64,Participant Media,76,1437595748,2733236505
65,Davis Entertainment,35,1422758414,3406686921
66,Ingenious Film Partners,7,1397328994,4499132298
67,Overbrook Entertainment,13,1348716587,3117554682
68,Sunswept Entertainment,10,1333905635,3233759658
69,Sony Pictures Animation,16,1305247759,3695629716
70,Roth Films,10,1305111522,3422356826
71,Laura Ziskin Productions,4,1230393258,2688702773
72,Chris Meledandri,4,1201994200,2756513827
73,Screen Gems,31,1187101674,2526583552
74,Centropolis Entertainment,12,1172584729,3515442778
75,One Race Films,8,1141774168,4746765815
76,Weinstein Company,35,1129643974,2706936251
77,Fairview Entertainment,5,1126831144,2393096692
78,Cruel and Unusual Films,5,1114920450,2761664895
79,Plan B Entertainment,26,1110920362,2717669273
80,Cruise-Wagner,7,1107923624,3029986287
81,Judd Apatow,12,1086897505,1466120053
82,Malpaso Productions,16,1079095605,1820272376
83,Vertigo Entertainment,14,1052022814,2051035408
84,Bad Hat Harry Productions,9,1041487477,2718590778
